ER5001,ER5002,ER5006,ER5013,ER5031,ER5032,ER6814,ER6993,ER72001,ER72002,ER72017,ER72024,ER72030,ER72031,ER76897,ER77448
,,,,,,,,1,4247,62,4,1,200000,2,40000
6,1127,30,4,8,0,2,48000,1,4039,54,4,8,0,2,62500
6,1128,29,4,5,0,2,21400,1,3989,53,4,1,160000,2,111000
6,3449,32,1,1,69000,2,28369,,,,,,,,
,,,,,,,,1,4137,27,1,5,0,2,88000
6,1930,76,3,5,0,1,17050,,,,,,,,
6,521,44,4,5,0,1,52039,1,8235,69,4,1,670000,1,53800
6,1926,25,2,5,0,1,10260,,,,,,,,
6,522,24,2,8,0,1,200,1,6758,48,1,5,0,1,110000
6,684,75,3,1,9999998,1,7402,,,,,,,,
6,734,67,4,5,0,2,10273,,,,,,,,
6,3860,48,1,1,115000,1,47941,1,2517,72,1,1,210000,1,67800
6,1129,49,1,1,70000,1,47801,1,1123,73,1,1,140000,1,88800
6,2370,49,1,1,100000,1,83102,1,5097,73,1,1,100000,1,107038
,,,,,,,,1,4644,51,4,8,0,1,29600
6,2368,24,1,5,0,1,26502,,,,,,,,
,,,,,,,,1,8252,18,2,8,0,4,15050
6,3328,32,1,1,95000,1,74647,,,,,,,,
6,3861,23,2,5,0,4,6900,1,4749,47,2,1,200000,4,899000
6,8793,25,2,8,0,4,17700,1,7520,49,4,5,0,4,68093
6,735,62,1,1,55000,1,25855,,,,,,,,
,,,,,,,,1,5804,85,3,1,100000,1,28276
6,3450,34,1,1,55000,1,54000,1,9193,59,1,1,95000,1,117100
6,736,32,4,5,0,1,1000,1,5965,57,4,5,0,1,9492
6,1130,32,5,5,0,1,37001,1,7694,56,1,1,175000,1,173520
,,,,,,,,1,6801,37,5,8,0,1,0
,,,,,,,,1,8299,36,4,5,0,1,163750
,,,,,,,,1,9515,33,5,1,175000,1,69600
,,,,,,,,1,9043,33,2,1,120000,1,55000
6,10330,33,4,8,0,1,13428,,,,,,,,
,,,,,,,,1,8277,49,1,1,156000,1,202000
6,3211,24,1,5,0,1,36692,,,,,,,,
,,,,,,,,1,6018,41,1,5,0,1,55600
,,,,,,,,1,7823,56,1,1,145000,1,75521
6,430,56,4,5,0,1,5895,,,,,,,,
6,1834,41,4,5,0,1,11545,,,,,,,,
